               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028419,           0.0097947,            0.019978,             0.88877,             0.86335,             0.92683,             0.60853,             0.01684,           0.0057721,           0.0086262,            0.006535,            0.006535,            0.006535
                  37,            0.026643,           0.0094449,            0.019138,             0.70503,              0.9144,             0.85891,             0.55288,            0.019113,           0.0057125,           0.0095251,            0.006436,            0.006436,            0.006436
                  38,            0.025108,             0.00979,            0.016111,             0.93819,             0.91216,             0.96653,             0.62243,            0.016359,           0.0056953,           0.0061737,            0.006337,            0.006337,            0.006337
                  39,            0.024085,            0.009271,            0.014791,             0.94422,             0.91052,             0.97265,             0.63388,            0.016352,           0.0056226,           0.0059061,            0.006238,            0.006238,            0.006238
                  40,            0.027381,           0.0096244,            0.015769,             0.93559,             0.93663,             0.97902,              0.6601,            0.015634,           0.0055291,           0.0051539,            0.006139,            0.006139,            0.006139
                  41,            0.024325,           0.0092751,            0.013773,             0.92149,             0.91601,             0.95754,             0.64284,            0.015617,           0.0055807,           0.0065472,             0.00604,             0.00604,             0.00604
                  42,            0.026021,           0.0095764,            0.014416,             0.94841,             0.92346,             0.97668,             0.66038,            0.016004,           0.0057181,           0.0048407,            0.005941,            0.005941,            0.005941
                  43,            0.026882,             0.01001,            0.017293,             0.94865,              0.9254,             0.97644,              0.6582,            0.014979,           0.0056684,           0.0049719,            0.005842,            0.005842,            0.005842
                  44,            0.024557,           0.0089579,             0.01303,              0.9222,             0.92437,             0.97682,             0.64359,            0.017306,            0.005515,           0.0054386,            0.005743,            0.005743,            0.005743
                  45,            0.023004,           0.0093953,             0.01329,             0.93738,              0.9264,              0.9773,             0.64742,            0.015407,           0.0055452,           0.0052858,            0.005644,            0.005644,            0.005644
                  46,            0.023177,           0.0097902,            0.014597,             0.95112,             0.95105,             0.98065,             0.66548,            0.015684,           0.0055297,           0.0038986,            0.005545,            0.005545,            0.005545
